name,id,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Poland,616,27732,15690,5710,987,332,293,155,217,273,281,330,365,344,567,545,519,477,421,359,325,259
Portugal,620,25,23,12,6,4,5,7,7,4,4,2,3,3,8,15,12,12,12,12,12,10
Puerto Rico,630,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,634,49,30,17,18,21,6,0,0,0,0,0,2,2,2,4,4,4,4,4,5,8
Rep. of Korea,410,7,13,17,19,19,33,26,51,59,71,114,169,182,275,283,290,296,290,282,280,239
Rep. of Moldova,498,445,499,570,609,429,223,234,252,141,133,105,103,108,248,224,185,161,168,187,198,195
Romania,642,3085,1813,1113,817,642,558,572,730,695,715,711,697,654,1286,1203,1088,952,800,690,577,460
Russian Federation,643,2611,1613,1206,1254,1655,1657,1694,2196,1990,1994,2118,2073,1916,2960,2770,2612,2311,1931,1756,1527,1315
Rwanda,646,436,519,602,679,1001,1194,1118,1322,1390,1462,1310,1223,1226,1697,1680,1550,1494,1537,1654,1655,1647
Saint Kitts and Nevis,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,10,12,15
Saint Lucia,662,0,2,2,2,4,5,7,9,7,11,32,96,151,216,278,312,328,423,551,697,906
Saint Vincent and the Grenadines,670,7,7,13,13,24,36,48,67,81,105,181,279,386,644,748,847,941,1121,1305,1524,1723
Samoa,882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,678,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,573,443,400,418,429
Saudi Arabia,682,175,251,229,218,210,180,26,15,22,25,39,64,80,99,128,126,122,129,131,135,119
Senegal,686,14,16,37,50,62,69,58,45,42,46,50,74,98,149,159,172,172,177,183,197,216
Serbia and Kosovo (S/RES/1244 (1999)),688,1552,1953,2315,2709,2899,2903,6632,7990,7494,7020,6472,2129,546,1159,1006,763,4149,3629,3459,3225,2821
Seychelles,690,528,305,103,7,4,1,0,0,0,0,0,1,4,8,8,10,10,10,10,10,10
Sierra Leone,694,50,52,64,77,100,108,335,677,1037,1374,1668,1557,1323,254,258,254,233,221,206,187,158
Singapore,702,8,8,8,10,10,12,6,9,8,8,4,7,6,19,24,25,26,27,27,28,29
Slovakia,703,6,7,7,7,12,10,8,13,16,17,19,12,11,31,35,35,28,24,22,30,39
Slovenia,705,15,23,37,70,84,76,69,56,23,7,1,4,3,6,10,9,9,9,9,9,9
Solomon Islands,90,0,0,0,0,0,0,0,0,4,4,4,4,10,15,19,33,38,43,39,39,39
Somalia,706,17817,14673,11422,8944,7098,5178,5159,5754,5545,5080,4894,4491,4507,7206,6209,5150,1,1,1,1,0
South Africa,710,123,71,42,26,17,31,26,34,32,32,20,20,16,33,33,38,37,30,35,45,51
South Sudan,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,724,42,29,51,50,52,49,44,14,8,6,3,1,2,6,9,15,13,14,16,20,22
Sri Lanka,144,21501,17975,14868,11793,10218,9717,10591,13161,12873,12563,12062,11076,9877,21279,20442,19143,16967,15174,13705,12326,10745
Sudan,736,2021,1992,2015,1952,2091,2215,2968,3692,4179,5141,6312,6230,6258,1915,1739,1615,1431,1238,1100,905,671
Suriname,740,13,14,12,9,7,3,0,0,1,2,2,2,3,3,3,6,10,10,9,8,8
Swaziland,748,11,15,16,17,29,27,16,15,15,2,6,7,11,16,17,17,19,25,39,71,101
Sweden,752,11,25,37,39,39,30,17,5,7,6,5,6,6,7,6,6,7,8,3,3,0
Switzerland,756,8,27,32,54,76,90,69,60,38,17,0,0,3,3,9,9,10,10,11,11,11
Syrian Arab Rep.,760,415,365,340,324,333,364,390,427,432,424,459,397,415,624,603,577,545,547,533,592,705
Tajikistan,762,1,1,3,8,104,123,113,124,122,29,15,91,113,34,40,45,44,43,50,54,59
Thailand,764,89,163,220,208,194,202,107,22,19,20,17,22,24,32,34,37,37,35,35,38,36
